date,code,fundlist
20171101,zh091,B-0.0/C-48.0/D-52.0/E-0.0
20171101,zh101,B-0.0/C-41.5/D-58.5/E-0.0
20180201,zh011,A-0.0/B-87.0/C-13.0
20180201,zh021,A-0.0/B-74.0/C-26.0
20180201,zh031,A-0.0/B-61.0/C-26.0/D-13.0
20180201,zh041,A-0.0/B-48.0/C-26.0/D-26.0
20180201,zh051,A-0.0/B-35.0/C-26.0/D-26.0/E-13.0
20180201,zh061,A-0.0/B-22.0/C-39.0/D-26.0/E-13.0
20180201,zh071,A-0.0/B-9.0/C-39.0/D-39.0/E-13.0
20180201,zh081,A-0.0/B-0.0/C-39.0/D-52.0/E-9.0
20180201,zh091,B-0.0/C-52.0/D-48.0/E-0.0
20180201,zh101,B-0.0/C-52.0/D-48.0/E-0.0
20180502,zh011,A-100.0/B-0.0/C-0.0
20180502,zh021,A-100.0/B-0.0/C-0.0
20180502,zh031,A-100.0/B-0.0/C-0.0/D-0.0
20180502,zh041,A-100.0/B-0.0/C-0.0/D-0.0
20180502,zh051,A-87.0/B-0.0/C-0.0/D-0.0/E-13.0
20180502,zh061,A-87.0/B-0.0/C-0.0/D-0.0/E-13.0
20180502,zh071,A-87.0/B-0.0/C-0.0/D-0.0/E-13.0
20180502,zh081,A-87.0/B-0.0/C-0.0/D-0.0/E-13.0
20180502,zh091,B-87.0/C-0.0/D-0.0/E-13.0
20180502,zh101,B-87.0/C-0.0/D-0.0/E-13.0
