,885009.WI,H11001.CSI,000300.SH,399005.SZ,HSI.HI
2006/10/23,1058.3327,114.61,1408.715,2130.102,18360.29326
2006/10/24,1058.3884,114.65,1440.054,2171.965,18438.96314
2006/10/25,1058.4405,114.72,1446.825,2181.874,18428.49331
2006/10/26,1058.4937,114.78,1456.095,2164.937,18617.11617
2006/10/27,1058.5458,114.7,1439.05,2144.479,18542.73717
2006/10/30,1058.7193,114.73,1446.239,2120.627,18539.62659
2006/10/31,1058.7744,114.73,1464.473,2133.163,18568.98007
2006/11/1,1058.83,114.75,1479.409,2126.88,18679.33814
2006/11/2,1058.8841,114.82,1479.656,2098.691,18950.77338
2006/11/3,1058.941,114.85,1488.291,2106.974,18980.12369
2006/11/6,1059.1144,114.82,1507.891,2083.433,19184.61881
2006/11/7,1059.1724,114.68,1516.104,2093.978,19178.89227
2006/11/8,1059.2299,114.7,1498.173,2106.267,19018.53986
2006/11/9,1059.2865,114.78,1524.714,2129.86,19161.72052
2006/11/10,1059.3406,114.78,1504.062,2079.745,19091.38608
2006/11/13,1059.518,114.78,1475.779,2019.813,19065.15019
2006/11/14,1059.571,114.77,1493.776,2040.609,19085.70505
2006/11/15,1059.6259,114.77,1534.762,2094.499,19303.97765
2006/11/16,1059.6804,114.75,1533.288,2100.154,19367.06326
2006/11/17,1059.7363,114.8,1562.084,2109.33,19399.66645
2006/11/20,1059.9128,114.8,1593.158,2086.647,19152.32679
2006/11/21,1059.968,114.79,1612.249,2106.355,19209.5979
2006/11/22,1060.0229,114.74,1624.028,2152.624,19444.64546
2006/11/23,1060.0778,114.69,1634.914,2157.031,19451.42299
2006/11/24,1060.1344,114.67,1636.58,2167.865,19433.06489
2006/11/27,1060.3128,114.69,1651.801,2199.972,19357.06596
2006/11/28,1060.3687,114.73,1644.014,2229.413,18813.25042
2006/11/29,1060.4272,114.71,1667.142,2254.498,18935.49705
2006/11/30,1060.4817,114.83,1714.358,2281.281,19125.81539
2006/12/1,1060.539,114.82,1729.224,2290.007,18824.45936
2006/12/4,1060.7204,114.84,1780.736,2328.804,18822.98855
2006/12/5,1060.7786,114.89,1794.231,2308.818,19078.50431
2006/12/6,1060.8359,114.83,1779.411,2289.401,19153.64635
2006/12/7,1060.8949,114.8,1775.714,2261.029,18991.47276
2006/12/8,1060.9544,114.86,1711.584,2217.193,18882.41392
2006/12/11,1061.1389,114.9,1789.924,2257.511,19082.49166
2006/12/12,1061.1972,114.86,1802.788,2279.532,19050.10821
2006/12/13,1061.2533,114.7,1803.856,2330.719,18845.28651
2006/12/14,1061.3108,114.72,1836.143,2364.975,19038.02464
2006/12/15,1061.3698,114.89,1867.636,2386.345,19225.69611
2006/12/18,1061.5477,114.85,1916.108,2431.99,19320.73478
2006/12/19,1061.6091,114.79,1921.444,2443.868,19093.50894
2006/12/20,1061.6689,114.61,1936.547,2513.296,19349.78868
2006/12/21,1061.7286,114.57,1908.985,2471.804,19333.56356
2006/12/22,1061.7855,114.6,1895.644,2446.787,19430.06735
2006/12/25,1061.977,114.52,1939.104,2476.784,19436.05671
2006/12/26,1062.0387,114.4,1938.238,2449.743,19422.91876
2006/12/27,1062.1033,114.55,1982.877,2450.956,19835.79957
2006/12/28,1062.1607,114.53,1979.933,2416.356,20103.31968
2006/12/29,1062.2218,114.54,2041.047,2467.696,20057.95524
2007/1/4,1062.6211,114.56,2067.092,2449.773,20073.44114
2007/1/5,1062.6779,114.69,2072.883,2530.35,20265.44623
2007/1/8,1062.8358,114.71,2131.556,2587.856,20085.94334
2007/1/9,1062.8921,114.72,2200.086,2615.612,19928.1261
2007/1/10,1062.9499,114.86,2255.966,2661.632,19592.21337
2007/1/11,1063.0148,114.79,2231.629,2679.714,19386.14541
2007/1/12,1063.0792,114.77,2173.747,2613.105,19620.66696
2007/1/15,1063.2568,114.77,2287.342,2756.576,20057.52229
2007/1/16,1063.3151,114.86,2353.874,2879.576,20005.11814
2007/1/17,1063.3756,114.84,2308.931,2868.18,20003.975
2007/1/18,1063.441,114.95,2317.095,2982.411,20203.29431
2007/1/19,1063.5005,115.01,2396.093,3127.376,20241.12391
2007/1/22,1063.6917,115.02,2491.313,3298.205,20697.23229
2007/1/23,1063.7588,114.99,2508.13,3229.451,20726.49902
2007/1/24,1063.8289,115.04,2536.428,3258.06,20755.88011
2007/1/25,1063.9024,115.02,2452.831,3125.912,20586.94398
2007/1/26,1063.9689,114.99,2512.922,3134.628,20210.55167
2007/1/29,1064.1794,115.05,2576.917,3183.048,20167.06582
2007/1/30,1064.2483,115.07,2551.884,3230.918,20375.9583
2007/1/31,1064.3063,115.05,2385.335,3079.814,20030.0156
2007/2/1,1064.3713,115.04,2395.172,3131.188,20313.91239
2007/2/2,1064.4297,114.97,2298.003,3087.206,20449.34594
2007/2/5,1064.6086,114.99,2271.797,3074.816,20339.84119
2007/2/6,1064.6678,114.97,2316.04,3079.292,20527.75742
2007/2/7,1064.7358,114.99,2369.787,3096.156,20523.76514
2007/2/8,1064.809,114.97,2410.601,3117.764,20571.03575
